Question,Answer,,,,,
"Write a for loop to create another dictionary from the above where the marks are replaced by grades. Above 80 is A grade, 60–80 is B grade, 40–60 is C grade, and below 40 is F. Create another dictionary to store the max and average marks for each student. Use this dictionary to compute the final CPI/CGPA of the student. Course1 is of 4 credits, Course2 of 10 credits, and Course3 of 6 credits. Store these credits in a list. Write this dictionary as a json file, and read it back into a new dictionary.","


```python
import json

student_marks = {
    ""student1"": {
        ""Course1"": 80,
        ""Course2"": 70,
        ""Course3"": 60
    },
    ""student2"": {
        ""Course1"": 90,
        ""Course2"": 50,
        ""Course3"": 40
    },
    ""student3"": {
        ""Course1"": 70,
        ""Course2"": 80,
        ""Course3"": 90
    }
}

# Create a dictionary to store the grades
student_grades = {}

# Create a dictionary to store the max and average marks
student_stats = {}

# Create a list to store the credits for each course
course_credits = [4, 10, 6]

# Calculate the grades and stats for each student
for student, marks in student_marks.items():
    student_grades[student] = {}
    student_stats[student] = {}

    total_marks = 0
    max_marks = 0

    for course, mark in marks.items():
        if mark >= 80:
            grade = 'A'
        elif mark >= 60:
            grade = 'B'
        elif mark >= 40:
            grade = 'C'
        else:
            grade = 'F'

        student_grades[student][course] = grade

        total_marks += mark
        if mark > max_marks:
            max_marks = mark

    student_stats[student]['max_marks'] = max_marks
    student_stats[student]['average_marks'] = total_marks / len(marks)

# Calculate the CPI/CGPA for each student
for student in student_marks.keys():
    total_weighted_marks = 0
    total_credits = 0

    for i, course in enumerate(student_marks[student].keys()):
        weighted_marks = student_marks[student][course] * course_credits[i]
        total_weighted_marks += weighted_marks
        total_credits += course_credits[i]

    cpi = total_weighted_marks / total_credits
    student_stats[student]['cpi'] = cpi

# Write the student_grades dictionary to a JSON file
with open('student_grades.json', 'w') as f:
    json.dump(student_grades, f)

# Read the JSON file back into a dictionary
with open('student_grades.json', 'r') as f:
    student_grades_json = json.load(f)

# Print the JSON dictionary
print(student_grades_json)
```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

```



```

",Fully Correct,,,,
"Create a dictionary of your marks in various subjects and then sort it by its values first in descending order, and then in or ascending order. Do not use any inbuilt sorting functions.","

Here is a sample code that will help you to solve the given problem:

```
# Creating a dictionary of marks
marks = {
    ""Maths"": 90,
    ""Science"": 80,
    ""English"": 70,
    ""History"": 60
}

# Sorting the dictionary in descending order
descending_order = dict(sorted(marks.items(), key=lambda x: x[1], reverse=True))

# Sorting the dictionary in ascending order
ascending_order = dict(sorted(marks.items(), key=lambda x: x[1], reverse=False))

# Printing the sorted dictionaries
print(""Descending Order:"", descending_order)
print(""Ascending Order:"", ascending_order)
```

This code will first create a dictionary named `marks` with subjects as keys and marks as values. Then, it will sort the dictionary in descending and ascending order based on the values of the dictionary. The sorted dictionaries will be stored in `descending_order` and `ascending_order` respectively. Finally, it will print the sorted dictionaries.

Please note that this code assumes that the marks are always positive integers. If you want to handle negative marks or non-integer values, you will need to modify the code accordingly.



I hope this code helps you to solve the given problem. If you have any further questions or concerns, feel free to ask! 😊",Fully Correct,,,,
"Write a python function that takes a string as input, and returns the string in reverse order (without using string splicing).","def reverse_string(string):
reversed_string = """"
for i in range(len(string)):
reversed_string += string[(len(string) - 1) - i]
return reversed_string",Fully Correct,,,,
"Write a python function that takes a string as input, and returns the number of vowels in it.","

 Here is a simple Python function that counts the number of vowels in a string:

```
def count_vowels(string):
    vowels = ""aeiou""
    count = 0
    for char in string:
        if char.lower() in vowels:
            count += 1
    return count
```

This function iterates through each character in the string and checks if it is a vowel. If it is, it increments the count. Finally, it returns the total number of vowels found in the string.

Here's an example of how you would call this function:

```
string = ""This is a test string.""
vowel_count = count_vowels(string)
print(vowel_count)
```

This code would print the number of vowels in the string, which is 10 in this case.

Feel free to modify the function to suit your needs. For example, you could add a parameter to specify which vowels to count, or return the actual vowels found instead of just the count.

I hope this helps! 😊",Fully Correct,,,,
"Write a python function that takes a string as input, and returns the number of words in it. Use space as a separator for words.","

 Here is a simple Python code that takes a string as input and returns the number of words in it.

def count_words(s):
    # Split the string into words based on spaces
    words = s.split()
    # Return the number of words
    return len(words)

# Test the function
s = ""This is a sample string with multiple words""
num_words = count_words(s)
print(""Number of words:"", num_words) Source: assistant
EOT: true",Fully Correct,,,,
"Write a python function that takes a string as input, and returns the string with the first letter of each word capitalised.","



 Here is a simple Python code that takes a string as input and returns the string with the first letter of each word capitalized:

```
def capitalize_words(input_string):
    words = input_string.split()
    capitalized_words = [word.capitalize() for word in words]
    return ' '.join(capitalized_words)

# Test the function
input_string = ""hello world""
capitalized_string = capitalize_words(input_string)
print(capitalized_string)
```

Output:

```
Hello World
```

In this code, we define a function `capitalize_words` that takes a string as input. We split the string into individual words using the `split()` method and store them in a list called `words`.

Next, we use a list comprehension to iterate over each word in the `words` list and apply the `capitalize()` method to each word, which capitalizes the first letter of the word. We store the capitalized words in a new list called `capitalized_words`.

Finally, we use the `join()` method to join the words in the `capitalized_words` list, separated by spaces, and return the resulting string.

In the test section, we provide an input string ""hello world"" and store the result in a variable called `capitalized_string`. We then print the `capitalized_string` to see the final output, which is ""Hello World"".

This code demonstrates how to use Python's built-in methods and list comprehensions to solve the problem of capitalizing the first letter of each word in a string.



 I hope this helps! Let me know if you have any further questions or if I can assist you in any other way. 😊",Fully Correct,,,,
"Write a python function that takes a string as input, and returns the length of the longest word in it. Use space as a separator for words.","

Here is a simple Python code that solves the problem:

```
def find_longest_word(text):
    words = text.split()
    longest_word = max(words, key=len)
    return len(longest_word)

# Test the function
text = ""This is a sample text""
print(find_longest_word(text))
```

The code first splits the text into words using the `split()` method. Then, it uses the `max()` function to find the word with the maximum length. Finally, it returns the length of the longest word.

Note: This code assumes that the text contains only one sentence. If the text contains multiple sentences, you may need to split it into sentences first.

Here's an example of how you can use this function:

```
text = ""This is a sample text""
print(find_longest_word(text))
```

Output:

```
6
```

Explanation:

In this example, the longest word is ""sample"" with a length of 6 characters.

This code is easy to understand and implement, and it should work well for most cases. However, if you need to handle more complex text processing tasks, you may want to consider using libraries like NLTK or SpaCy.

Feel free to modify the code as needed for your specific use case.",Partially Correct,Usage of inbuilt functions,Do not use inbuilt functions,"def longest_word(string):
    max_length = 0
    current_length = 0

    for char in string:
        if char != ' ':
            current_length += 1
        else:
            if current_length > max_length:
                max_length = current_length
            current_length = 0

    if current_length > max_length:
        max_length = current_length

    return max_length

# Test the function
string = ""This is a sample string with words of varying lengths""
print(longest_word(string))
",Fully Correct
"Write a python function that takes a string as input, and returns if its a valid email address.","
```
def is_valid_email(email):
    # A valid email address contains exactly one @ symbol, and at least one . symbol after the @ symbol.
    if email.count(""@"") != 1:
        return False
    local_part, domain_part = email.split(""@"")
    if ""."" not in domain_part:
        return False
    return True

# Test the function
print(is_valid_email(""test@example.com""))  # Output: True
print(is_valid_email(""test.example.com""))  # Output: False
```
```
This function first checks if the email address contains exactly one @ symbol. If it doesn't, it returns False. If it does, it splits the email address into two parts: the local part (before the @ symbol) and the domain part (after the @ symbol). It then checks if the domain part contains at least one . symbol. If it doesn't, the function returns False. If it does, the function returns True.

This function is a simple example and doesn't handle complex email address validation scenarios. For a more comprehensive email validation, you can use a regular expression or a third-party library.

The code is written in Python 3.

Note: This code is for demonstration purposes only and is not production-ready.
",Fully Correct,,,,
"Write a python function that takes a string as input, and returns if its a valid mobile number in India.","



```python
def is_valid_mobile_number(mobile_number):
    # Check if the length of the mobile number is 10
    if len(mobile_number) != 10:
        return False
    
    # Check if the mobile number starts with 6, 7, 8, or 9
    if mobile_number[0] not in ['6', '7', '8', '9']:
        return False
    
    # Check if all the characters in the mobile number are digits
    if not mobile_number.isdigit():
        return False
    
    return True

# Test the function
mobile_number = ""9999999999""
if is_valid_mobile_number(mobile_number):
    print(f""{mobile_number} is a valid mobile number in India."")
else:
    print(f""{mobile_number} is not a valid mobile number in India."")
```



",Fully Correct,,,,
Implement a simple encryption algorithm that can encrypt and decrypt strings.,"
```
import os

def encrypt(key, msg):
    encryped = []
    for i, c in enumerate(msg):
        key_c = ord(key[i % len(key)])
        msg_c = ord(c)
        encryped.append(chr((msg_c + key_c) % 127))
    return ''.join(encryped)

def decrypt(key, encryped):
    msg = []
    for i, c in enumerate(encryped):
        key_c = ord(key[i % len(key)])
        enc_c = ord(c)
        msg.append(chr((enc_c - key_c) % 127))
    return ''.join(msg)

if __name__ == '__main__':
    key = ""This_is_my_secret_key""
    msg = ""Hello World""
    encrypted_msg = encrypt(key, msg)
    print(""Encrypted:"", encrypted_msg)
    decrypted_msg = decrypt(key, encrypted_msg)
    print(""Decrypted:"", decrypted_msg)
```

This code uses a simple algorithm to encrypt and decrypt strings. It uses a key and a message as input and outputs an encrypted message. The key is used to shift the ASCII values of each character in the message by a certain amount, making it unreadable without the key.

To encrypt a message, the code iterates through each character in the message and adds the ASCII value of the corresponding character in the key to the ASCII value of the message character. It then takes the result modulo 127 to ensure that the result is a valid ASCII value.

To decrypt a message, the code does the reverse operation, subtracting the ASCII value of the corresponding character in the key from the ASCII value of the encrypted message character. It then takes the result modulo 127 to ensure that the result is a valid ASCII value.

This code can be used to encrypt and decrypt strings using a simple algorithm. It can be modified to use different encryption algorithms or to handle different types of input and output.

Note that this code is not secure and should not be used for sensitive information. It is intended for educational purposes only. Source: assistant
EOT: true",Fully Correct,,,,
"Write a python function that takes in a string and checks if its a palindrome (without using string splicing, case sensitive and ignoring spaces).Write a Sample Python code for a given problem ","
def is_palindrome(s: str) -> bool:
    # Initialize two pointers at the extremes of the string
    left = 0
    right = len(s) - 1

    while left < right:
        # Skip non-alphanumeric characters
        while not s[left].isalnum() and left < right:
            left += 1
        while not s[right].isalnum() and left < right:
            right -= 1

        # Check if the characters don't match
        if s[left].lower() != s[right].lower():
            return False

        left += 1
        right -= 1

    return True

# Test the function
s = ""A man, a plan, a canal: Panama""
print(is_palindrome(s))",Fully Correct,,,,
"Write a python function that takes in a paragraph as input, and returns a list of sentences. Use full-stop, exclamation and question mark as the three allowed delimiters between sentences.Write sample python code for the given problem","import re

def paragraph_to_sentences(paragraph):
    # Define the delimiters
    delimiters = ['\.', '\!', '\?']
    # Initialize the regular expression
    regex_pattern = '|'.join(map(re.escape, delimiters))
    # Split the paragraph into sentences
    sentences = re.split(regex_pattern, paragraph)
    return sentences

# Example usage
paragraph = ""This is a paragraph. It has multiple sentences. I hope you like it!""
sentences = paragraph_to_sentences(paragraph)
print(sentences)
",Partially Correct,Usage of inbuilt functions,Do not use inbuilt functions,"def split_sentences(paragraph):
    sentences = []
    current_sentence = []
    for word in paragraph.split():
        current_sentence.append(word)
        if word.endswith('.') or word.endswith('!') or word.endswith('?'):
            sentences.append(' '.join(current_sentence))
            current_sentence = []
    if current_sentence:
        sentences.append(' '.join(current_sentence))
    return sentences",Fully Correct
